SoilMoisture,Nitrogen,Phosphorus,Potassium,Temperature,Humidity,Crop,Irrigation
20.7,35.5,15.1,176.2,18.4,54.7,Tomato,1
34.0,23.1,24.1,363.0,18.4,72.5,Beans,0
19.4,19.8,20.6,427.8,20.3,43.9,Corn,1
32.6,8.9,15.7,379.1,30.1,54.8,Cotton,0
5.0,17.6,24.3,272.9,20.1,86.5,Carrot,1
36.2,41.4,18.3,324.9,27.6,69.4,Cabbage,0
41.8,24.1,17.2,217.8,26.9,25.9,Cabbage,0
19.9,6.4,12.1,307.9,33.5,81.6,Carrot,1
27.4,13.4,26.8,96.3,37.6,83.4,Peas,0
9.1,15.8,27.2,108.5,31.8,77.6,Sunflower,1
32.7,25.2,27.7,289.1,28.2,40.0,Sunflower,0
27.2,20.1,20.5,222.7,25.2,64.1,Wheat,0
30.0,11.0,27.6,336.7,26.7,87.1,Onion,0
23.9,29.8,12.7,378.4,23.7,44.7,Spinach,1
11.4,12.0,13.3,267.7,11.7,22.3,Beans,1
34.5,14.2,15.5,349.2,14.4,85.3,Potato,0
43.3,7.7,20.9,440.0,21.4,53.6,Beans,0
28.0,9.0,21.7,291.4,27.2,52.8,Cabbage,0
27.8,22.2,17.6,463.9,26.8,83.9,Corn,0
34.2,28.1,13.2,236.3,19.7,39.2,Cotton,0
17.2,27.1,14.4,146.6,35.2,27.9,Sugarcane,1
37.8,19.1,24.7,243.1,28.3,53.6,Maize,0
38.4,25.9,26.1,320.3,25.4,62.6,Cabbage,0
13.2,0.0,18.7,371.8,37.0,47.8,Beans,1
25.7,3.0,19.7,338.4,24.7,54.5,Soybean,0
28.8,6.3,22.4,93.7,43.7,48.0,Carrot,0
14.0,9.0,22.4,374.7,22.7,53.2,Spinach,1
11.3,25.0,17.5,404.5,23.1,58.4,Beans,1
24.2,5.7,19.0,305.7,6.7,68.3,Cotton,0
24.6,11.0,20.6,497.3,22.0,20.2,Potato,0
14.4,26.1,23.8,246.9,20.4,45.9,Sugarcane,1
9.8,33.7,28.2,275.1,29.6,55.8,Onion,1
28.1,8.3,11.7,329.4,21.1,32.8,Cabbage,0
14.4,13.5,16.1,264.9,26.7,67.5,Sunflower,1
34.1,17.0,30.9,456.3,29.4,59.0,Corn,0
14.6,18.1,15.6,161.7,32.4,44.9,Tomato,1
44.1,25.0,19.0,279.4,6.8,79.6,Carrot,0
25.5,11.7,21.4,295.0,23.1,87.9,Potato,0
15.9,38.0,19.6,356.6,31.7,57.5,Sugarcane,1
18.4,25.7,16.2,119.5,12.0,28.0,Carrot,1
25.5,26.4,11.7,293.4,15.3,57.3,Onion,0
17.5,0.0,30.0,498.4,30.0,26.2,Wheat,1
14.9,43.9,17.0,278.7,26.3,79.6,Cotton,1
31.8,18.6,23.3,281.1,29.6,72.5,Lettuce,0
30.0,23.9,17.9,329.0,41.6,45.1,Corn,0
42.1,28.2,28.9,260.2,27.0,57.8,Carrot,0
33.1,1.4,25.0,368.7,6.3,24.7,Cabbage,0
16.2,22.9,20.8,356.9,18.0,75.6,Tomato,1
21.0,29.7,20.4,251.3,28.2,41.8,Wheat,1
20.0,23.9,23.3,209.1,38.1,27.2,Cotton,0
24.6,17.3,15.1,255.6,28.0,36.0,Carrot,1
38.3,40.0,23.6,456.8,15.6,49.7,Lettuce,0
18.2,27.6,21.1,386.8,17.5,61.5,Onion,1
42.8,25.9,21.1,344.2,27.0,62.5,Lettuce,0
13.6,10.1,19.4,305.6,33.8,61.4,Onion,1
23.4,15.7,14.9,134.5,31.6,44.2,Cabbage,1
25.7,28.4,19.8,255.7,25.7,83.9,Beans,0
35.4,13.0,15.5,227.9,25.6,88.3,Sunflower,0
10.2,17.3,14.5,557.3,25.5,24.7,Potato,1
24.7,14.6,16.4,310.6,23.0,56.7,Peas,1
40.0,32.5,9.6,265.7,22.0,80.3,Peas,0
16.7,29.2,20.3,395.2,34.8,37.8,Sunflower,1
5.0,21.0,19.3,350.0,16.6,36.7,Tomato,1
37.5,24.2,18.6,194.2,20.2,64.3,Maize,0
22.4,23.3,13.7,392.4,23.5,77.2,Wheat,0
18.0,5.9,12.2,360.6,14.8,58.6,Barley,1
42.5,16.3,22.4,316.6,17.2,89.0,Maize,0
45.0,0.0,24.3,405.7,14.1,65.2,Peas,0
20.3,20.2,21.7,246.0,18.8,21.3,Onion,1
38.5,21.3,16.2,299.7,24.4,70.4,Beans,0
5.0,15.8,16.8,391.1,17.7,37.6,Soybean,1
15.0,25.1,19.2,380.7,28.1,23.3,Carrot,1
5.0,17.7,26.0,323.0,28.5,62.7,Barley,1
30.2,18.8,19.8,188.1,27.4,31.3,Maize,0
7.8,23.7,14.8,88.1,22.2,44.6,Barley,1
44.8,19.5,12.2,260.0,29.0,68.6,Wheat,0
30.3,2.4,25.7,168.1,23.2,57.9,Rice,0
37.8,26.9,24.2,436.8,35.8,23.6,Tomato,0
35.3,21.0,17.3,104.8,22.8,28.4,Cabbage,0
29.5,17.9,25.6,292.0,21.3,78.0,Sunflower,0
33.9,7.3,27.1,214.4,46.9,81.9,Peas,0
37.6,11.1,19.1,256.0,36.6,42.3,Barley,0
27.0,0.0,23.6,278.2,33.0,52.3,Beans,0
32.1,20.5,26.1,231.7,20.9,63.9,Maize,0
5.0,3.2,11.2,212.7,31.3,27.7,Lettuce,1
32.9,15.5,23.3,461.4,28.7,23.2,Onion,0
22.5,35.5,15.0,398.4,23.3,86.1,Cabbage,1
24.0,20.5,25.7,266.8,29.9,28.4,Barley,0
20.0,14.8,17.0,355.5,20.0,44.5,Barley,1
12.5,25.7,32.5,347.0,11.4,56.1,Cotton,1
26.8,11.7,22.4,244.8,30.1,35.7,Beans,0
23.7,31.3,12.5,228.4,20.2,79.7,Cabbage,1
24.7,25.4,25.4,214.9,25.8,48.6,Soybean,0
25.5,13.7,24.5,303.6,39.9,58.1,Cabbage,0
33.2,25.8,18.2,359.1,33.9,79.5,Carrot,0
33.2,25.1,25.3,416.9,36.1,31.1,Spinach,0
31.5,19.6,22.8,245.8,30.1,83.6,Barley,0
29.2,24.0,18.9,300.3,31.5,88.7,Beans,0
10.1,17.2,15.6,260.9,19.6,21.3,Peas,1
24.0,22.8,23.0,318.7,21.4,41.1,Potato,0
26.9,27.5,24.9,230.5,24.7,25.2,Peas,0
28.7,14.7,19.3,96.5,30.9,51.2,Beans,0
35.8,26.8,19.8,429.9,25.9,40.9,Onion,0
17.8,27.3,22.2,324.3,22.3,41.8,Maize,1
40.5,12.9,16.7,307.4,23.2,45.8,Rice,0
45.0,3.4,17.9,251.8,38.0,21.3,Cabbage,0
5.0,32.5,22.5,196.9,24.6,28.8,Lettuce,1
28.7,4.2,17.1,253.6,14.4,61.3,Lettuce,0
36.5,15.5,10.6,254.8,5.6,62.0,Tomato,0
32.9,24.3,15.2,295.2,25.0,63.3,Barley,0
13.4,17.8,20.1,320.8,8.7,26.2,Wheat,1
11.1,8.9,24.6,355.3,25.8,86.6,Carrot,1
22.3,22.1,24.4,447.6,37.2,40.9,Corn,0
28.9,26.8,17.1,408.9,25.9,77.2,Lettuce,0
34.5,36.9,17.7,473.2,33.6,53.5,Corn,0
14.7,14.7,23.1,412.9,48.7,70.3,Onion,1
24.0,8.7,22.8,249.8,26.7,22.1,Cotton,0
21.6,23.5,19.5,350.3,28.1,71.5,Wheat,1
35.3,22.2,25.2,468.4,21.3,54.1,Beans,0
38.2,24.4,15.6,163.7,19.6,78.5,Maize,0
5.0,24.0,16.6,332.4,22.7,54.5,Wheat,1
40.4,38.0,16.6,327.6,14.4,47.9,Cabbage,0
35.7,7.1,25.8,253.2,27.8,87.9,Corn,0
29.3,17.0,10.4,234.2,40.6,30.2,Cabbage,0
19.1,26.5,13.0,216.2,29.2,31.7,Cotton,0
33.5,32.2,26.1,291.0,27.9,80.8,Barley,0
38.0,14.8,20.2,176.3,30.0,32.6,Lettuce,0
26.9,11.1,15.6,461.6,40.8,21.2,Cotton,0
22.9,20.7,22.0,314.8,11.6,44.0,Beans,1
36.1,9.6,23.1,194.7,20.0,80.8,Rice,0
44.1,28.7,22.5,315.0,27.9,54.8,Cabbage,0
26.8,21.7,18.0,327.9,29.9,77.9,Peas,0
26.4,12.3,21.5,400.5,23.0,74.8,Spinach,0
19.0,16.7,26.1,369.4,24.1,83.1,Carrot,1
32.7,17.0,26.9,285.0,26.0,58.1,Carrot,0
38.4,35.9,9.9,407.1,42.7,58.2,Cabbage,0
36.1,36.4,25.0,231.2,43.0,46.6,Corn,0
5.0,42.9,13.1,135.5,33.2,62.6,Tomato,1
45.0,36.2,21.6,317.9,39.6,77.6,Spinach,0
22.5,23.9,19.1,355.3,24.7,38.0,Barley,0
15.5,29.7,16.9,108.8,28.2,62.7,Onion,1
28.2,19.3,20.5,431.4,20.7,40.7,Beans,0
30.1,4.1,22.2,298.0,29.4,76.4,Peas,0
29.8,0.0,21.2,525.0,35.6,65.3,Wheat,0
29.2,17.2,23.8,374.7,19.4,39.2,Soybean,0
43.2,11.7,21.2,221.8,42.8,31.8,Sugarcane,0
12.6,19.2,25.5,168.8,26.2,41.9,Corn,1
34.6,42.1,17.2,163.0,24.3,89.1,Corn,0
45.0,36.7,24.6,113.2,9.2,70.7,Corn,0
28.0,14.7,11.9,356.3,16.2,44.8,Barley,0
17.9,32.4,18.9,247.9,26.6,64.8,Sugarcane,1
28.3,28.3,10.0,337.4,34.8,89.6,Tomato,0
12.9,0.5,16.9,217.5,26.3,87.3,Maize,1
26.7,5.9,19.4,209.6,19.1,66.5,Cabbage,0
37.4,9.1,18.4,421.3,26.1,56.5,Corn,0
33.1,13.1,21.5,400.2,15.1,24.4,Rice,0
25.2,9.3,15.6,229.6,23.1,85.6,Sugarcane,1
38.1,20.4,21.0,290.4,27.9,59.7,Potato,0
39.0,0.0,20.1,519.2,30.4,67.2,Soybean,0
27.7,23.2,16.7,399.2,23.6,32.1,Soybean,0
17.4,27.1,20.6,227.8,46.0,42.0,Maize,1
19.8,29.3,16.0,335.2,32.6,36.3,Onion,1
5.0,25.1,20.3,119.8,19.8,55.4,Carrot,1
32.3,15.4,11.7,425.6,34.2,33.4,Beans,0
5.0,36.4,19.5,150.4,32.1,50.1,Maize,1
18.9,17.0,18.1,317.0,26.3,77.0,Potato,0
25.0,14.1,17.5,395.1,28.4,70.7,Sunflower,0
23.7,29.9,17.5,182.9,34.7,71.4,Cotton,0
21.8,19.7,19.1,260.8,24.9,38.2,Cotton,0
15.1,25.8,12.3,403.3,28.3,33.9,Soybean,1
35.8,19.8,22.9,312.0,17.2,51.8,Cotton,0
21.1,25.5,25.5,353.3,33.1,47.5,Sugarcane,1
28.2,13.3,25.2,239.4,39.6,37.8,Soybean,0
24.1,21.5,22.9,350.9,5.5,51.5,Soybean,0
24.0,13.6,20.8,180.9,25.5,71.6,Peas,1
19.0,19.2,25.5,357.5,5.5,52.3,Wheat,1
26.9,32.0,16.7,195.3,29.3,32.2,Sugarcane,1
37.6,21.9,19.4,228.3,25.2,82.9,Cotton,0
16.5,26.1,26.6,174.7,21.0,28.5,Tomato,1
31.4,32.2,17.1,303.9,36.6,72.4,Sugarcane,0
43.0,16.4,15.8,195.5,9.3,50.8,Maize,0
22.8,17.2,21.5,381.6,31.9,80.3,Beans,1
19.2,23.0,11.7,175.9,29.8,88.5,Peas,1
33.9,27.3,14.8,350.3,27.6,85.6,Onion,0
25.3,19.1,19.6,381.3,29.6,34.9,Carrot,0
28.1,37.0,21.2,560.2,29.5,68.2,Lettuce,0
7.4,30.0,21.0,180.7,23.1,59.1,Sunflower,1
33.3,10.7,26.4,257.7,27.1,71.3,Tomato,0
11.0,35.4,24.7,368.7,7.3,56.7,Sunflower,1
17.2,26.5,19.4,342.0,17.9,41.4,Soybean,1
20.6,17.1,15.3,421.1,30.0,35.2,Cotton,0
21.1,15.9,12.8,133.9,25.2,70.6,Cotton,0
35.8,35.4,30.0,506.2,34.7,67.4,Cotton,0
21.9,20.7,25.5,157.9,28.6,72.2,Beans,1
16.8,25.5,17.5,69.6,28.0,28.6,Rice,1
16.6,18.6,22.4,163.5,26.5,49.5,Peas,1
30.8,6.7,19.9,385.0,32.0,86.5,Sugarcane,0
20.1,8.8,20.7,123.2,27.6,38.2,Cotton,0
23.5,14.2,13.5,160.0,2.6,50.5,Onion,1
34.1,34.3,20.5,314.6,21.3,47.9,Cotton,0
21.5,10.5,15.2,193.1,9.5,79.1,Sugarcane,1
24.8,12.5,7.9,388.4,30.9,21.5,Rice,1
22.2,20.7,22.6,143.7,20.8,71.2,Barley,0
29.5,13.0,17.2,193.6,27.5,87.7,Beans,0
23.7,11.8,19.2,347.0,40.3,88.6,Potato,0
35.1,0.0,21.2,442.9,14.3,79.3,Maize,0
30.5,24.4,24.5,63.7,16.9,65.6,Soybean,0
25.2,12.7,19.1,437.5,19.8,31.5,Lettuce,0
17.0,21.2,28.1,332.3,23.0,81.6,Sugarcane,1
22.1,4.4,24.4,292.2,23.6,27.4,Onion,1
45.0,18.7,15.6,247.3,20.9,26.6,Beans,0
43.7,30.8,17.8,428.1,25.5,31.1,Potato,0
33.5,13.6,25.1,266.5,21.8,32.9,Rice,0
32.8,25.7,25.0,237.2,27.7,42.4,Cotton,0
19.6,22.7,19.8,414.9,36.5,31.6,Wheat,1
28.9,12.3,17.5,355.9,27.3,43.6,Rice,1
24.3,21.7,26.6,199.3,34.1,53.0,Potato,0
11.7,30.8,23.7,243.3,25.6,37.1,Cabbage,1
35.4,14.3,17.9,233.7,8.8,72.4,Wheat,0
40.8,25.1,22.1,338.2,21.1,42.0,Spinach,0
28.0,22.8,18.7,358.7,21.2,39.5,Cabbage,0
26.3,39.4,15.0,232.2,29.1,81.0,Corn,0
26.8,22.8,23.7,262.1,15.9,46.6,Sunflower,0
26.4,31.0,21.3,293.7,23.5,22.9,Onion,0
15.6,17.8,22.1,256.5,31.0,83.8,Onion,1
33.4,25.0,20.2,315.4,41.3,57.3,Soybean,0
34.4,5.3,18.7,130.0,29.2,77.7,Cabbage,0
32.5,11.1,16.7,314.9,15.4,89.2,Corn,0
12.3,27.3,16.8,308.3,21.3,89.7,Spinach,1
43.6,28.6,16.0,228.5,38.8,56.8,Beans,0
24.2,29.8,22.5,319.0,33.0,56.2,Potato,0
13.8,18.9,15.1,253.1,36.5,64.8,Cabbage,1
22.3,16.4,17.5,210.4,17.6,53.1,Sunflower,0
45.0,21.1,19.5,281.6,21.5,23.2,Potato,0
5.0,18.1,12.0,158.5,4.3,63.6,Tomato,1
10.0,27.6,20.4,154.2,22.5,76.2,Onion,1
17.5,15.1,13.3,241.9,31.8,77.3,Peas,1
20.6,20.7,18.5,311.3,31.1,31.6,Sunflower,1
24.1,2.0,12.1,326.7,29.1,62.6,Tomato,1
35.5,10.2,24.1,353.5,31.5,76.0,Spinach,0
12.9,11.1,18.5,452.1,21.1,25.0,Sugarcane,1
19.7,35.1,26.7,432.7,26.9,55.2,Cabbage,1
34.1,29.5,21.4,238.8,27.9,83.2,Potato,0
30.6,29.2,7.7,455.8,23.5,83.7,Rice,0
17.3,18.3,12.6,404.8,22.3,48.3,Peas,1
15.6,9.1,18.7,443.3,29.2,80.0,Carrot,1
29.9,16.4,21.2,272.8,24.4,47.5,Cabbage,0
12.3,20.4,18.0,312.9,26.8,46.5,Sunflower,1
5.0,14.4,19.0,131.7,18.6,67.4,Corn,1
37.2,21.1,27.6,503.6,25.2,29.5,Cotton,0
29.2,19.1,18.1,274.1,37.8,40.2,Onion,0
20.9,30.7,17.6,71.3,26.0,58.2,Cotton,0
24.9,9.2,21.6,563.3,10.6,31.8,Carrot,1
14.4,11.3,13.7,213.5,25.5,44.3,Corn,1
29.9,23.2,18.2,363.1,19.8,71.4,Corn,0
36.0,39.6,13.9,349.7,21.3,53.3,Beans,0
23.9,36.6,27.8,240.5,8.2,22.7,Sugarcane,1
18.2,20.8,18.2,496.8,25.2,26.6,Barley,1
31.5,2.3,26.3,209.4,19.8,73.3,Rice,0
32.4,21.9,26.8,216.8,24.1,51.0,Cabbage,0
34.6,24.1,27.5,416.6,23.4,82.5,Cabbage,0
33.9,27.9,20.4,408.0,36.4,77.4,Rice,0
38.1,11.1,16.6,246.4,31.9,21.0,Potato,0
37.1,5.6,20.9,314.5,20.0,47.9,Wheat,0
28.1,18.4,16.3,232.5,23.8,44.4,Maize,0
36.0,38.8,16.4,333.6,21.2,53.5,Corn,0
31.3,18.4,16.5,200.2,18.9,39.7,Maize,0
17.1,15.3,25.8,328.0,13.2,22.4,Tomato,1
27.6,26.8,22.0,430.1,23.5,58.8,Peas,0
33.1,10.3,22.4,350.5,33.5,30.0,Beans,0
45.0,19.7,11.2,230.5,21.7,64.1,Tomato,0
18.4,4.6,23.5,393.0,32.1,60.8,Barley,1
27.1,11.4,25.6,272.7,18.8,38.9,Tomato,0
35.3,13.4,19.2,394.5,23.2,87.5,Maize,0
32.6,27.4,20.6,346.2,32.2,29.7,Cotton,0
26.9,20.7,14.7,405.8,26.6,65.1,Barley,0
22.2,20.0,15.1,398.3,22.5,53.3,Soybean,0
19.5,7.8,17.5,285.2,21.4,77.6,Spinach,1
39.5,26.2,14.3,403.9,24.4,35.1,Maize,0
31.7,18.4,21.9,241.3,22.3,60.5,Carrot,0
44.6,14.6,19.2,304.1,17.0,38.7,Barley,0
22.7,10.1,7.2,280.9,44.3,20.7,Soybean,0
32.8,34.1,17.2,130.4,22.4,35.4,Barley,0
31.7,25.9,18.2,242.6,25.8,44.4,Lettuce,0
40.5,21.6,20.3,317.3,27.0,74.6,Lettuce,0
20.3,16.0,21.5,356.6,26.2,53.1,Tomato,1
31.4,20.2,21.2,174.0,20.1,33.7,Lettuce,0
13.6,10.6,20.1,337.8,34.0,86.3,Soybean,1
30.2,17.4,10.8,333.0,30.0,24.4,Rice,0
25.0,27.7,11.6,228.1,19.4,86.4,Peas,1
37.5,18.1,18.2,282.0,36.0,58.3,Onion,0
45.0,4.4,19.7,412.3,27.4,29.6,Carrot,0
31.9,24.5,21.9,304.8,27.7,38.2,Barley,0
17.8,21.6,20.8,304.1,29.4,83.6,Beans,1
19.2,11.6,27.9,405.0,22.5,74.1,Maize,1
32.2,7.1,15.2,347.2,36.9,54.9,Sugarcane,0
28.6,24.6,22.7,389.5,8.1,76.3,Potato,0
33.8,15.5,17.6,326.6,21.5,53.7,Soybean,0
24.3,19.9,23.1,50.0,41.0,64.5,Carrot,1
24.2,13.3,23.9,156.0,10.3,79.3,Corn,0
41.1,20.1,15.2,259.3,30.5,86.5,Wheat,0
29.9,37.0,10.9,223.8,23.5,50.1,Cotton,0
26.7,16.8,25.5,366.2,29.3,82.2,Sunflower,0
29.1,6.7,17.2,197.4,22.1,25.0,Beans,0
29.4,26.8,18.2,209.7,24.3,77.9,Sugarcane,1
35.4,27.4,15.2,342.3,25.9,39.8,Sugarcane,0
35.5,26.9,7.2,226.8,16.8,41.3,Carrot,0
19.1,10.3,24.1,433.8,36.9,62.7,Corn,1
20.2,28.6,22.9,254.0,15.9,83.1,Cotton,0
39.6,2.8,17.0,322.9,39.4,31.7,Sugarcane,0
28.8,27.8,13.0,75.9,22.6,86.4,Potato,0
34.7,28.0,20.2,204.4,6.5,85.3,Cabbage,0
26.6,30.8,25.0,381.6,24.4,68.6,Maize,0
20.8,29.4,18.2,254.0,17.5,28.3,Sunflower,1
29.5,24.6,28.4,299.4,30.3,46.6,Peas,0
5.0,21.4,18.0,330.0,28.9,79.0,Cabbage,1
37.5,20.5,34.6,330.6,39.7,57.9,Sugarcane,0
23.2,0.5,22.1,269.7,29.6,63.8,Wheat,0
35.1,23.8,24.0,235.1,31.2,63.7,Maize,0
11.5,26.8,18.0,257.7,24.6,33.4,Corn,1
22.6,4.8,25.6,237.1,37.3,24.8,Lettuce,1
19.6,2.9,14.4,423.6,23.8,86.1,Wheat,1
19.5,27.0,24.3,326.4,22.1,75.0,Carrot,1
24.7,17.3,21.9,303.9,14.3,60.8,Beans,1
27.4,8.9,11.7,217.1,19.7,53.8,Peas,0
33.0,41.1,15.9,343.6,15.5,84.8,Spinach,0
28.4,22.0,15.9,449.9,35.0,38.7,Potato,0
16.0,34.6,11.7,513.7,31.9,56.8,Maize,1
42.6,17.9,21.4,466.4,30.8,67.6,Maize,0
25.4,17.4,18.4,137.6,24.1,78.8,Wheat,0
30.0,11.7,23.5,297.5,41.8,72.0,Soybean,0
27.3,16.3,19.3,382.6,21.5,70.6,Beans,0
8.9,39.7,22.7,204.2,30.2,65.8,Peas,1
17.2,13.1,15.4,216.8,24.5,71.3,Cabbage,1
17.8,14.2,21.2,350.0,28.8,85.3,Wheat,1
20.3,33.3,11.6,309.3,21.9,34.4,Carrot,1
39.7,2.8,21.4,381.0,22.8,66.7,Barley,0
11.6,26.9,17.0,471.9,40.9,85.5,Maize,1
17.3,14.5,24.3,261.3,24.6,41.1,Beans,1
24.9,13.1,17.5,444.4,14.9,31.2,Sunflower,0
33.1,34.9,20.4,380.9,29.4,51.2,Spinach,0
14.9,8.8,20.5,134.0,7.8,44.8,Sugarcane,1
30.3,25.5,18.7,287.5,27.6,44.8,Carrot,0
16.0,12.3,23.2,271.3,27.5,75.6,Soybean,1
5.0,14.9,9.6,278.7,24.7,40.7,Peas,1
15.1,25.3,14.8,374.4,25.9,31.3,Cabbage,1
42.4,10.1,11.1,357.3,27.8,28.5,Wheat,0
22.8,16.9,32.1,343.3,14.0,35.4,Cabbage,1
19.4,19.6,21.1,353.6,27.9,67.5,Tomato,1
16.3,25.3,6.8,300.3,27.6,57.3,Tomato,1
34.2,19.6,29.7,289.8,30.8,88.6,Carrot,0
20.3,7.2,19.3,317.7,3.5,21.3,Peas,1
27.6,24.2,24.3,393.7,23.2,35.5,Peas,0
37.4,21.3,21.8,333.8,8.3,75.4,Spinach,0
23.1,33.3,20.2,258.5,4.8,20.9,Onion,1
37.4,15.4,19.8,305.8,31.8,87.8,Onion,0
5.0,18.1,16.7,270.5,35.8,89.8,Peas,1
14.2,13.1,13.7,152.9,23.5,52.5,Soybean,1
18.8,32.9,24.8,279.1,41.9,20.4,Barley,1
27.7,35.1,27.0,341.5,31.0,56.3,Maize,0
31.2,12.0,27.5,176.9,35.5,47.4,Peas,0
31.4,5.3,27.3,264.2,26.1,73.1,Peas,0
36.6,38.1,18.9,215.2,19.8,42.0,Lettuce,0
35.3,22.9,22.0,365.6,28.0,60.9,Tomato,0
41.1,31.6,17.9,410.8,29.8,39.0,Beans,0
45.0,25.3,15.9,373.4,35.4,52.4,Rice,0
26.1,24.6,13.2,384.8,15.1,77.0,Onion,0
28.5,19.7,23.3,369.7,19.9,35.2,Sugarcane,1
29.6,16.7,22.5,246.2,25.5,66.7,Cotton,0
11.4,16.8,28.6,310.4,40.2,26.6,Rice,1
17.8,24.7,12.3,375.7,29.9,80.1,Tomato,1
45.0,8.2,14.6,184.0,22.6,21.0,Carrot,0
36.0,9.7,25.6,303.5,16.1,20.4,Spinach,0
34.7,23.3,28.2,475.5,39.2,47.2,Corn,0
20.1,27.0,20.8,279.4,29.5,56.9,Spinach,1
36.2,25.5,23.5,459.7,24.5,67.2,Cotton,0
18.5,14.8,20.8,317.8,25.4,24.9,Beans,1
37.3,36.9,22.8,212.0,40.9,78.6,Wheat,0
19.7,21.7,18.0,100.7,8.6,68.0,Onion,1
15.2,50.6,14.5,268.7,11.8,84.5,Rice,1
30.4,2.6,25.6,219.3,23.8,62.5,Barley,0
33.3,36.4,22.2,300.1,16.9,76.0,Spinach,0
39.9,22.5,24.1,296.6,28.6,79.3,Potato,0
19.8,18.0,19.0,225.3,23.6,38.8,Onion,1
9.5,18.9,16.1,333.4,25.2,31.6,Soybean,1
8.0,15.4,16.9,405.2,16.9,29.1,Tomato,1
17.4,5.9,13.5,385.1,37.0,30.9,Sunflower,1
17.9,30.1,20.6,289.9,27.5,47.7,Rice,1
24.6,11.4,13.1,246.0,16.3,58.3,Soybean,0
29.8,23.7,22.0,107.2,22.8,33.7,Lettuce,0
33.5,41.1,18.0,484.3,29.7,66.1,Beans,0
22.0,22.4,16.4,469.0,32.4,82.3,Corn,1
25.3,22.6,13.7,264.9,46.5,65.1,Peas,0
16.2,29.6,21.2,278.0,4.4,83.2,Sugarcane,1
22.5,20.7,22.2,265.0,17.0,75.8,Rice,1
22.0,27.4,22.6,462.8,44.8,61.2,Corn,1
45.0,25.3,26.1,236.3,28.7,52.1,Sugarcane,0
18.6,10.7,20.7,357.5,30.9,63.1,Cabbage,1
35.0,38.9,20.6,282.7,29.9,69.6,Beans,0
19.0,8.9,32.1,322.1,25.2,55.1,Beans,1
33.9,12.2,23.5,257.2,8.6,74.1,Wheat,0
16.9,14.5,26.1,251.3,36.4,28.8,Tomato,1
18.9,22.8,12.9,320.2,26.7,84.9,Peas,1
36.2,11.8,15.8,286.1,20.1,40.5,Beans,0
8.6,25.1,21.0,369.5,13.3,67.5,Maize,1
33.7,5.1,20.8,553.4,30.4,43.8,Rice,0
